No,ID,Word/Phrase,POS (Old),POS (New),English Meaning (Old),English Meaning (New),Thai Meaning (Old),Thai Meaning (New),Status,Audit Notes / Reason
1703,ox_his,his,pronoun,pronoun,Belonging to or associated with a male person or animal previously mentioned or easily identified,Belonging to or associated with a male person or animal previously mentioned or easily identified,ของเขา,ของเขา,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1704,ox_historical,historical,adjective,adjective,relating to history or the past,relating to history or the past,ประวัติศาสตร์,ประวัติศาสตร์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1705,ox_history,history,noun,noun,"The study of past events, particularly in human affairs","The study of past events, particularly in human affairs",ประวัติศาสตร์,ประวัติศาสตร์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1706,ox_hit,hit,verb,verb,Bring one's hand or a tool or weapon into contact with (someone or something) quickly and forcefully,Bring one's hand or a tool or weapon into contact with (someone or something) quickly and forcefully,ตี,ตี,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1707,ox_hobby,hobby,noun,noun,An activity done regularly in one's leisure time for pleasure,An activity done regularly in one's leisure time for pleasure,งานอดิเรก,งานอดิเรก,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1708,ox_hold,hold,verb,verb,"Grasp, carry, or support with one's hands","Grasp, carry, or support with one's hands",ถือ,ถือ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1709,ox_hold_back,hold back,verb,phrasal verb,a phrasal verb meaning to hold back,to restrain someone or something; to prevent progress or feelings from showing,กลั้นไว้ (น้ำตา) / ยับยั้งชั่งใจ,"กลั้นไว้ (น้ำตา), ยับยั้งชั่งใจ, สกัดกั้น",MODIFIED,แทนที่คำนิยาม placeholder ภาษาอังกฤษ
1710,ox_hold_on,hold on,verb,phrasal verb,a phrasal verb meaning to hold on,to wait for a short time; to grip tightly; to endure difficulty,ถือสายรอสักครู่ / อดทนไว้,"ถือสายรอสักครู่, อดทนสู้ต่อไป, ยึดไว้ให้แน่น",MODIFIED,แทนที่คำนิยาม placeholder ภาษาอังกฤษ
1711,ox_hold_on_to,hold on to,verb,phrasal verb,a phrasal verb meaning to hold on to,to keep or cling to something firmly; to maintain belief,ยึดมั่นใน,"ยึดมั่นใน, กอด/จับยึดไว้แน่น",MODIFIED,แทนที่คำนิยาม placeholder ภาษาอังกฤษ
1712,ox_hold_out,hold out,verb,phrasal verb,a phrasal verb meaning to hold out,to extend one's hand or offer; to continue to resist or survive,ยื่นมือออกไป / ยืนหยัดทนต่อไป,"ยื่นมือออกไป, ยืนหยัดทนต่อไปไม่ยอมแพ้",MODIFIED,แทนที่คำนิยาม placeholder ภาษาอังกฤษ
1713,ox_hold_up,hold up,verb,phrasal verb,a phrasal verb meaning to hold up,to delay something; to rob using threats or weapons; to support,ทำให้ล่าช้า / ปล้นชิง,"ทำให้ล่าช้า/ติดขัด, ปล้นชิงทรัพย์, พยุงไว้",MODIFIED,แทนที่คำนิยาม placeholder ภาษาอังกฤษ
1714,ox_hole,hole,noun,noun,A hollow place in a solid body or surface,A hollow place in a solid body or surface,รู,รู,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1715,ox_holiday,holiday,noun,noun,"An extended period of leisure and recreation, especially one spent away from home or traveling","An extended period of leisure and recreation, especially one spent away from home or traveling",วันหยุด,วันหยุด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1716,ox_hollow,hollow,adjective,adjective,Having a hole or empty space inside,Having a hole or empty space inside,กลวง,กลวง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1717,ox_holy,holy,adjective,adjective,connected with God or a particular religion; sacred,connected with God or a particular religion; sacred,ศักดิ์สิทธิ์,ศักดิ์สิทธิ์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1718,ox_home,home,noun,noun,"The place where one lives permanently, especially as a member of a family or household","The place where one lives permanently, especially as a member of a family or household",บ้าน,บ้าน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1719,ox_homework,homework,noun,noun,school work that students do at home,school work that students do at home,การบ้าน,การบ้าน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1720,ox_honest,honest,adjective,adjective,Free of deceit and untruthfulness; sincere,Free of deceit and untruthfulness; sincere,ซื่อสัตย์,ซื่อสัตย์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1721,ox_honestly,honestly,adverb,adverb,"In a truthful, fair, or honorable way","In a truthful, fair, or honorable way",อย่างซื่อสัตย์ / พูดตามตรง,อย่างซื่อสัตย์ / พูดตามตรง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1722,ox_honour,honour,noun,noun,High respect; esteem,High respect; esteem,ให้เกียรติ,ให้เกียรติ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1723,ox_hook,hook,noun,noun,"A curved or bent tool for catching, holding, or pulling","A curved or bent tool for catching, holding, or pulling",ตะขอ,ตะขอ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1724,ox_hope,hope,noun,noun,A feeling of expectation and desire for a certain thing to happen,A feeling of expectation and desire for a certain thing to happen,หวัง,หวัง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1725,ox_horizontal,horizontal,adjective,adjective,Parallel to the plane of the horizon; at right angles to the vertical,Parallel to the plane of the horizon; at right angles to the vertical,แนวนอน,แนวนอน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1726,ox_horn,horn,noun,noun,"A hard, pointed, often curved part that grows from the top of the head of some animals","A hard, pointed, often curved part that grows from the top of the head of some animals",แตร,แตร,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1727,ox_horror,horror,noun,noun,"An intense feeling of fear, shock, or disgust","An intense feeling of fear, shock, or disgust",สยองขวัญ,สยองขวัญ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1728,ox_horse,horse,noun,noun,A large plant-eating domesticated mammal with solid hoofs and a flowing mane and tail,A large plant-eating domesticated mammal with solid hoofs and a flowing mane and tail,ม้า,ม้า,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1729,ox_hospital,hospital,noun,noun,An institution providing medical and surgical treatment and nursing care for sick or injured people,An institution providing medical and surgical treatment and nursing care for sick or injured people,โรงพยาบาล,โรงพยาบาล,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1730,ox_host,host,noun,noun,A person who receives or entertains other people as guests,A person who receives or entertains other people as guests,เจ้าภาพ,เจ้าภาพ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1731,ox_hot,hot,adjective,adjective,Having a high degree of heat or a high temperature,Having a high degree of heat or a high temperature,ร้อน,ร้อน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1732,ox_hotel,hotel,noun,noun,"An establishment providing accommodations, meals, and other services for travelers and tourists","An establishment providing accommodations, meals, and other services for travelers and tourists",โรงแรม,โรงแรม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1733,ox_hour,hour,noun,noun,A period of time equal to a twenty-fourth part of a day and night and divided into 60 minutes,A period of time equal to a twenty-fourth part of a day and night and divided into 60 minutes,ชั่วโมง,ชั่วโมง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1734,ox_house,house,noun,noun,"A building for human habitation, especially one that is lived in by a family or small group of people","A building for human habitation, especially one that is lived in by a family or small group of people",บ้าน,บ้าน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1735,ox_household,household,noun,noun,A house and its occupants regarded as a unit,A house and its occupants regarded as a unit,ครัวเรือน,ครัวเรือน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1736,ox_housing,housing,noun,noun,Houses and apartments considered collectively,Houses and apartments considered collectively,ที่อยู่อาศัย,ที่อยู่อาศัย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1737,ox_how,how,adverb,adverb,In what way or manner; by what means,In what way or manner; by what means,ยังไง,ยังไง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1738,ox_however,however,conjunction,conjunction,Used to introduce a statement that contrasts with or seems to contradict something that has been said previously,Used to introduce a statement that contrasts with or seems to contradict something that has been said previously,อย่างไรก็ตาม,อย่างไรก็ตาม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1739,ox_huge,huge,adjective,adjective,Extremely large,Extremely large,ใหญ่,ใหญ่,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1740,ox_human,human,adjective,adjective,Relating to or characteristic of people or human beings,Relating to or characteristic of people or human beings,มนุษย์,มนุษย์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1741,ox_humorous,humorous,adjective,adjective,Causing lighthearted laughter and amusement; comic,Causing lighthearted laughter and amusement; comic,มีอารมณ์ขัน,มีอารมณ์ขัน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1742,ox_humour,humour,noun,noun,"The quality of being amusing or comic, especially as expressed in literature or speech","The quality of being amusing or comic, especially as expressed in literature or speech",อารมณ์ขัน,อารมณ์ขัน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1743,ox_hundred,hundred,noun,noun,The number equivalent to the product of ten and ten; 100,The number equivalent to the product of ten and ten; 100,ร้อย,ร้อย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1744,ox_hundredth,hundredth,number,number,coming after the ninety-ninth in a series; 100th,coming after the ninety-ninth in a series; 100th,ที่ร้อย,ที่ร้อย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1745,ox_hungry,hungry,adjective,adjective,Feeling or displaying the need for food,Feeling or displaying the need for food,หิว,หิว,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1746,ox_hunt,hunt,verb,verb,Pursue and kill (a wild animal) for sport or food,Pursue and kill (a wild animal) for sport or food,ล่า,ล่า,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1747,ox_hunting,hunting,verb,noun,Pursue and kill (a wild animal) for sport or food,the activity of pursuing and catching or killing wild animals,การล่าสัตว์,"การล่าสัตว์, กีฬาล่าสัตว์",MODIFIED,แก้ไขชนิดของคำ POS จาก verb เป็น noun
1748,ox_hurry,hurry,verb,verb,Move or act with haste; rush,Move or act with haste; rush,รีบ,รีบ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1749,ox_hurry_up,hurry up,verb,phrasal verb,a phrasal verb meaning to hurry up,"to move, act, or do something more quickly",รีบเข้า / เร่งความเร็ว,"เร่งรีบเข้า, เร่งความเร็ว",MODIFIED,แทนที่คำนิยาม placeholder ภาษาอังกฤษ
1750,ox_hurt,hurt,verb,verb,Cause physical pain or injury to,Cause physical pain or injury to,เจ็บ,เจ็บ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1751,ox_husband,husband,noun,noun,A married man considered in relation to his spouse,A married man considered in relation to his spouse,สามี,สามี,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1752,ox_I,I,pronoun,pronoun,Used by a speaker to refer to himself or herself,Used by a speaker to refer to himself or herself,ฉัน,ฉัน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1753,ox_ice,ice,noun,noun,"Frozen water, a brittle, transparent crystalline solid","Frozen water, a brittle, transparent crystalline solid",น้ำแข็ง,น้ำแข็ง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1754,ox_ice_cream,ice cream,noun,noun,A soft frozen food made with sweetened and flavored milk fat,a sweet frozen food made from milkfat and sugar,ไอศครีม,ไอศกรีม,MODIFIED,แก้ไขตัวสะกดภาษาไทยให้ถูกต้องตามราชบัณฑิตยสภา (ไอศกรีม)
1755,ox_idea,idea,noun,noun,A thought or suggestion as to a possible course of action,A thought or suggestion as to a possible course of action,ความคิด,ความคิด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1756,ox_ideal,ideal,adjective,adjective,Satisfying one's conception of what is perfect; most suitable,Satisfying one's conception of what is perfect; most suitable,ในอุดมคติ,ในอุดมคติ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1757,ox_identify,identify,verb,verb,Establish or indicate who or what (someone or something) is,Establish or indicate who or what (someone or something) is,แยกแยะ,แยกแยะ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1758,ox_identify_with,identify with,verb,phrasal verb,a phrasal verb meaning to identify with,to feel that you understand and share the feelings of someone,ระบุด้วย,"เข้าใจความรู้สึกและเข้าถึงได้, รู้สึกผูกพันกับ",MODIFIED,"แก้ไขคำแปลไทยจาก ""ระบุด้วย"" และแก้ไขคำนิยาม placeholder ภาษาอังกฤษ"
1759,ox_identity,identity,noun,noun,The fact of being who or what a person or thing is,The fact of being who or what a person or thing is,ตัวตน,ตัวตน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1760,ox_i.e.,i.e.,other,other,"an abbreviation meaning ""that is"" or ""in other words""","an abbreviation meaning ""that is"" or ""in other words""",เช่น.,เช่น.,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1761,ox_if,if,conjunction,conjunction,Introducing a conditional clause,Introducing a conditional clause,ถ้า,ถ้า,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1762,ox_ignore,ignore,verb,verb,Refuse to take notice of or acknowledge; disregard intentionally,Refuse to take notice of or acknowledge; disregard intentionally,ไม่สนใจ,ไม่สนใจ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1763,ox_ill,ill,adjective,adjective,Not in full health; sick,Not in full health; sick,ป่วย,ป่วย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1764,ox_illegal,illegal,adjective,adjective,"Contrary to or forbidden by law, especially criminal law","Contrary to or forbidden by law, especially criminal law",ผิดกฎหมาย,ผิดกฎหมาย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1765,ox_illegally,illegally,adjective,adjective,"Contrary to or forbidden by law, especially criminal law","Contrary to or forbidden by law, especially criminal law",อย่างผิดกฎหมาย,อย่างผิดกฎหมาย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1766,ox_illness,illness,noun,noun,A disease or period of sickness affecting the body or mind,A disease or period of sickness affecting the body or mind,การเจ็บป่วย,การเจ็บป่วย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1767,ox_image,image,noun,noun,A representation of the external form of a person or thing in art,A representation of the external form of a person or thing in art,ภาพ,ภาพ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1768,ox_imaginary,imaginary,adjective,adjective,existing only in the mind; not real,existing only in the mind; not real,จินตภาพ,จินตภาพ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1769,ox_imagination,imagination,noun,noun,the ability to form new ideas or pictures in the mind,the ability to form new ideas or pictures in the mind,จินตนาการ,จินตนาการ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1770,ox_imagine,imagine,verb,verb,Form a mental image or concept of,Form a mental image or concept of,จินตนาการ,จินตนาการ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1771,ox_immediate,immediate,adjective,adjective,Occurring or done at once; instant,Occurring or done at once; instant,ทันที,ทันที,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1772,ox_immediately,immediately,adverb,adverb,At once; instantly,At once; instantly,ทันทีทันใด,ทันทีทันใด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1773,ox_immoral,immoral,adjective,adjective,not following accepted standards of right behavior,not following accepted standards of right behavior,ผิดศีลธรรม,ผิดศีลธรรม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1774,ox_impact,impact,noun,noun,The action of one object coming forcibly into contact with another,The action of one object coming forcibly into contact with another,ผลกระทบ,ผลกระทบ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1775,ox_impatient,impatient,adjective,adjective,not willing to wait calmly,not willing to wait calmly,ใจร้อน,ใจร้อน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1776,ox_implication,implication,noun,noun,The conclusion that can be drawn from something although it is not explicitly stated,The conclusion that can be drawn from something although it is not explicitly stated,ความหมาย,ความหมาย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1777,ox_imply,imply,verb,verb,to suggest something without stating it directly,to suggest something without stating it directly,บอกเป็นนัย / ส่อความว่า,บอกเป็นนัย / ส่อความว่า,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1778,ox_import,import,verb,verb,to bring goods into a country from abroad,to bring goods into a country from abroad,นำเข้า,นำเข้า,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1779,ox_importance,importance,noun,noun,The state or fact of being of great significance or value,The state or fact of being of great significance or value,ความสำคัญ,ความสำคัญ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1780,ox_important,important,adjective,adjective,Of great significance or value,Of great significance or value,สำคัญ,สำคัญ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1781,ox_importantly,importantly,adverb,adverb,Used to emphasize a significant point or matter,Used to emphasize a significant point or matter,ที่สำคัญ,ที่สำคัญ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1782,ox_impose,impose,verb,verb,"to force a rule, tax, or punishment on someone","to force a rule, tax, or punishment on someone",กำหนด,กำหนด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1783,ox_impossible,impossible,adjective,adjective,"Not able to occur, exist, or be done","Not able to occur, exist, or be done",เป็นไปไม่ได้,เป็นไปไม่ได้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1784,ox_impress,impress,verb,verb,Make (someone) feel admiration and respect,Make (someone) feel admiration and respect,ประทับใจ,ประทับใจ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1785,ox_impressed,impressed,adjective,adjective,Feeling or showing admiration or respect for someone or something,Feeling or showing admiration or respect for someone or something,ประทับใจ,ประทับใจ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1786,ox_impression,impression,noun,noun,"An idea, feeling, or opinion about something or someone, especially one formed without conscious thought or on the basis of little evidence","An idea, feeling, or opinion about something or someone, especially one formed without conscious thought or on the basis of little evidence",ความประทับใจ,ความประทับใจ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1787,ox_impressive,impressive,adjective,adjective,"Evoking admiration through size, quality, or skill: grand, imposing, or awesome","Evoking admiration through size, quality, or skill: grand, imposing, or awesome",ประทับใจ,ประทับใจ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1788,ox_improve,improve,verb,verb,Make or become better,Make or become better,ทำให้ดีขึ้น,ทำให้ดีขึ้น,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1789,ox_improvement,improvement,noun,noun,An example or instance of improving or being improved,An example or instance of improving or being improved,การปรับปรุง,การปรับปรุง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1790,ox_in,in,preposition,preposition,Expressing the situation of something that is or appears to be enclosed or surrounded by something else,Expressing the situation of something that is or appears to be enclosed or surrounded by something else,ใน,ใน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1791,ox_inability,inability,noun,noun,"The lack of ability, means, or power to do something","The lack of ability, means, or power to do something",การไร้ความสามารถ,การไร้ความสามารถ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1792,ox_inch,inch,noun,noun,A unit of linear measure equal to one twelfth of a foot (2.54 cm),A unit of linear measure equal to one twelfth of a foot (2.54 cm),นิ้ว,นิ้ว,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1793,ox_incident,incident,noun,noun,An event or occurrence,An event or occurrence,เหตุการณ์,เหตุการณ์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1794,ox_include,include,verb,verb,Comprise or contain as part of a whole,Comprise or contain as part of a whole,รวม,รวม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1795,ox_including,including,preposition,preposition,Containing (someone or something) as part of the whole being considered,Containing (someone or something) as part of the whole being considered,รวมทั้ง,รวมทั้ง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1796,ox_income,income,noun,noun,"Money received, especially on a regular basis, for work or through investments","Money received, especially on a regular basis, for work or through investments",รายได้,รายได้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1797,ox_increase,increase,verb,verb,"Become or make greater in size, amount, intensity, or degree","Become or make greater in size, amount, intensity, or degree",เพิ่มขึ้น,เพิ่มขึ้น,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1798,ox_increasingly,increasingly,adverb,adverb,To an increasing extent; more and more,To an increasing extent; more and more,มากขึ้นเรื่อยๆ,มากขึ้นเรื่อยๆ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1799,ox_indeed,indeed,adverb,adverb,Used to emphasize a statement or response confirming something already suggested,Used to emphasize a statement or response confirming something already suggested,อย่างแท้จริง,อย่างแท้จริง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1800,ox_independence,independence,noun,noun,The fact or state of being independent,The fact or state of being independent,ความเป็นอิสระ,ความเป็นอิสระ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1801,ox_independent,independent,adjective,adjective,Free from outside control; not depending on another's authority,Free from outside control; not depending on another's authority,เป็นอิสระ,เป็นอิสระ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1802,ox_independently,independently,adjective,adjective,Free from outside control; not depending on another's authority,Free from outside control; not depending on another's authority,อย่างเป็นอิสระ / ด้วยตนเอง,อย่างเป็นอิสระ / ด้วยตนเอง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1803,ox_index,index,noun,noun,"An alphabetical list of names, subjects, etc., with references to the places where they occur, typically found at the end of a book","An alphabetical list of names, subjects, etc., with references to the places where they occur, typically found at the end of a book",ดัชนี,ดัชนี,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1804,ox_indicate,indicate,verb,verb,Point out; show,Point out; show,ระบุ,ระบุ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1805,ox_indication,indication,noun,noun,A sign or piece of information that indicates something,A sign or piece of information that indicates something,ข้อบ่งชี้,ข้อบ่งชี้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1806,ox_indirect,indirect,adjective,adjective,Not directly caused by or resulting from something,Not directly caused by or resulting from something,ทางอ้อม,ทางอ้อม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1807,ox_indirectly,indirectly,adverb,adverb,In a way that is not directly caused by or connected with something,In a way that is not directly caused by or connected with something,ทางอ้อม,ทางอ้อม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1808,ox_individual,individual,noun,noun,"A single human being as distinct from a group, class, or family","A single human being as distinct from a group, class, or family",รายบุคคล,รายบุคคล,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1809,ox_indoor,indoor,adjective,adjective,situated or done inside a building,situated or done inside a building,ในร่ม,ในร่ม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1810,ox_indoors,indoors,adverb,adverb,Inside a building,Inside a building,ในอาคาร,ในอาคาร,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1811,ox_industrial,industrial,adjective,adjective,Relating to or characterized by industry,Relating to or characterized by industry,ทางอุตสาหกรรม,ทางอุตสาหกรรม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1812,ox_industry,industry,noun,noun,Economic activity concerned with the processing of raw materials and manufacture of goods in factories,Economic activity concerned with the processing of raw materials and manufacture of goods in factories,อุตสาหกรรม,อุตสาหกรรม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1813,ox_inevitable,inevitable,adjective,adjective,Certain to happen; unavoidable,Certain to happen; unavoidable,หลีกเลี่ยงไม่ได้,หลีกเลี่ยงไม่ได้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1814,ox_inevitably,inevitably,adverb,adverb,As is certain to happen; unavoidably,As is certain to happen; unavoidably,อย่างหลีกเลี่ยงไม่ได้,อย่างหลีกเลี่ยงไม่ได้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1815,ox_infect,infect,verb,verb,"Affect (a person, organism, etc.) with a disease-causing organism","Affect (a person, organism, etc.) with a disease-causing organism",ติดเชื้อ,ติดเชื้อ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1816,ox_infected,infected,verb,verb,"Affect (a person, organism, etc.) with a disease-causing organism","Affect (a person, organism, etc.) with a disease-causing organism",ติดเชื้อแล้ว,ติดเชื้อแล้ว,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1817,ox_infection,infection,noun,noun,The process of infecting or the state of being infected,The process of infecting or the state of being infected,การติดเชื้อ,การติดเชื้อ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1818,ox_infectious,infectious,adjective,adjective,Likely to spread or influence others in a rapid manner,Likely to spread or influence others in a rapid manner,ติดเชื้อ,ติดเชื้อ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1819,ox_influence,influence,noun,noun,"The capacity to have an effect on the character, development, or behavior of someone or something, or the effect itself","The capacity to have an effect on the character, development, or behavior of someone or something, or the effect itself",อิทธิพล,อิทธิพล,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1820,ox_inform,inform,verb,verb,Give (someone) facts or information; tell,Give (someone) facts or information; tell,แจ้ง,แจ้ง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1821,ox_informal,informal,adjective,adjective,"Having a relaxed, friendly, or unofficial style, manner, or nature","Having a relaxed, friendly, or unofficial style, manner, or nature",ไม่เป็นทางการ,ไม่เป็นทางการ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1822,ox_information,information,noun,noun,Facts provided or learned about something or someone,Facts provided or learned about something or someone,ข้อมูล,ข้อมูล,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1823,ox_ingredient,ingredient,noun,noun,Any of the foods or substances that are combined to make a particular dish,Any of the foods or substances that are combined to make a particular dish,วัตถุดิบ,วัตถุดิบ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1824,ox_initial,initial,adjective,adjective,Existing or occurring at the beginning,Existing or occurring at the beginning,อักษรย่อ,อักษรย่อ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1825,ox_initially,initially,adverb,adverb,At first,At first,ในขั้นต้น / ในตอนแรก,ในขั้นต้น / ในตอนแรก,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1826,ox_initiative,initiative,noun,noun,The ability to assess and initiate things independently,The ability to assess and initiate things independently,ความคิดริเริ่ม,ความคิดริเริ่ม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1827,ox_injure,injure,verb,verb,Do physical harm or damage to (someone),Do physical harm or damage to (someone),ได้รับบาดเจ็บ,ได้รับบาดเจ็บ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1828,ox_injured,injured,adjective,adjective,"Harmed, damaged, or impaired","Harmed, damaged, or impaired",ได้รับบาดเจ็บ,ได้รับบาดเจ็บ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
1829,ox_injury,injury,noun,noun,An instance of being injured,An instance of being injured,บาดเจ็บ,บาดเจ็บ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
